ho__ab_mod_chapel_1;A hospital holding is building a Chapel here and it will take at most 365 days to complete.;Une hpital holding est construire un Chapelle ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Kapelle auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Capilla aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ho__ab_mod_hospital_building_1;A hospital holding is building a Sick House here and it will take at most 360 days to complete.;Une hpital holding est construire un Maison de malades ici et il faudra au maximum 360 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Krankenhaus auf und es dauert hchstens 360 Tage bis zum Ende.;;Un hospital holding est construyendo un Casa de salud. aqu y tomar como mximo 360 das para completarse.;;;;;;;;;x
ho__ab_mod_hospital_building_2;A hospital holding is building a Expanded Sick House here and it will take at most 365 days to complete.;Une hpital holding est construire un Grande maison de malades ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Erweitertes Krankenhaus auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Casa de salud extendida. aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ho__ab_mod_hospital_building_3;A hospital holding is building a Separated Wards here and it will take at most 730 days to complete.;Une hpital holding est construire un Pavillons spars ici et il faudra au maximum 730 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Getrennte Krankenstationen auf und es dauert hchstens 730 Tage bis zum Ende.;;Un hospital holding est construyendo un Salas separadas aqu y tomar como mximo 730 das para completarse.;;;;;;;;;x
ho__ab_mod_hospital_building_4;A hospital holding is building a Extended Wards here and it will take at most 365 days to complete.;Une hpital holding est construire un Pavillons agrandis ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Erweiterte Krankenstationen auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Salas aumentadas aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ho__ab_mod_hospital_building_5;A hospital holding is building a Extensive Hospital Complex here and it will take at most 1095 days to complete.;Une hpital holding est construire un Complexe hospitalier ici et il faudra au maximum 1095 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Ausgedehnte Hospitalanlage auf und es dauert hchstens 1095 Tage bis zum Ende.;;Un hospital holding est construyendo un Complejo hospitalario extendido aqu y tomar como mximo 1095 das para completarse.;;;;;;;;;x
ho__ab_mod_leper_colony_1;A hospital holding is building a Leper Colony here and it will take at most 365 days to complete.;Une hpital holding est construire un Lproserie ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Leprakolonie auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Leprosera. aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ho__ab_mod_library_1;A hospital holding is building a Library here and it will take at most 365 days to complete.;Une hpital holding est construire un Bibliothque ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Bibliothek auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Biblioteca aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ho__ab_mod_medical_academy_1;A hospital holding is building a Medical Academy here and it will take at most 365 days to complete.;Une hpital holding est construire un Acadmie mdicale ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Medizinische Akademie auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Academia mdica aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ho__ab_mod_observatory_1;A hospital holding is building a Observatory here and it will take at most 365 days to complete.;Une hpital holding est construire un Observatoire ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Observatorium auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Observatorio aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ho__ab_mod_pharmacology_laboratory_1;A hospital holding is building a Pharmacology Laboratory here and it will take at most 365 days to complete.;Une hpital holding est construire un Laboratoire de pharmacologie ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Pharmakologisches Labor auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Laboratorio farmacolgico aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ho__ab_mod_pilgrims_inn_1;A hospital holding is building a Pilgrim's Inn here and it will take at most 365 days to complete.;Une hpital holding est construire un Auberge du plerin ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Pilgerschenke auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Posada del peregrino aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ho__ab_mod_soup_kitchen_1;A hospital holding is building a Soup Kitchen here and it will take at most 365 days to complete.;Une hpital holding est construire un Soupe populaire ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein Suppenkche auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Comedor de beneficencia. aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ho__ab_mod_translation_house_1;A hospital holding is building a Translation House here and it will take at most 365 days to complete.;Une hpital holding est construire un Centre de traduction ici et il faudra au maximum 365 jours pour tre termin.;Ein Krankenhaus-Halt baut hier ein bersetzerhaus auf und es dauert hchstens 365 Tage bis zum Ende.;;Un hospital holding est construyendo un Casa de traduccin aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
