nick_the_unholy;the Unholy;;;;;;;;;;;;;x
nick_the_sleeper;the Sleeper;;;;;;;;;;;;;x
nick_the_awakened;the Awakened;;;;;;;;;;;;;x
nick_the_jihadist;the Jihadist;;;;;;;;;;;;;x
nick_the_wolf-killer;the Wolf-Killer;;;;;;;;;;;;;x
nick_the_blood-hunted;the Blood Hunted;;;;;;;;;;;;;x
nick_the_nomad;the Nomad;;;;;;;;;;;;;x
nick_the_domitor;the Domitor;;;;;;;;;;;;;x
nick_the_nocktu;the Nocktu;;;;;;;;;;;;;x
nick_the_potent;the Potent;;;;;;;;;;;;;x
nick_the_breeder;the Breeder;;;;;;;;;;;;;x
nick_the_diabolist;the Diablerist;;;;;;;;;;;;;x
nick_the_saint;the Saint;;;;;;;;;;;;;x
nick_the_crone;the Crone;;;;;;;;;;;;;x
nick_the_savage;the Savage;;;;;;;;;;;;;x
nick_the_haunt;the Haunt;;;;;;;;;;;;;x
nick_the_shadow;the Shadow;;;;;;;;;;;;;x
nick_the_succubus;the Succubus;;;;;;;;;;;;;x
nick_the_incubus;the Incubus;;;;;;;;;;;;;x
nick_the_lady_of_the_night;the Lady of the Night;;;;;;;;;;;;;x
nick_the_lord_of_the_night;the Lord of the Night;;;;;;;;;;;;;x 
nick_the_majestic;the Majestic;;;;;;;;;;;;;x
nick_the_master;the Master;;;;;;;;;;;;;x
nick_the_mistress;the Mistress;;;;;;;;;;;;;x
nick_the_beastmaster;the Beast Master;;;;;;;;;;;;;x
nick_the_beastmistress;the Beast Mistress;;;;;;;;;;;;;x
nick_the_shapeshifter;the Shapeshifter;;;;;;;;;;;;;x
nick_the_celeritous;the Celeritous;;;;;;;;;;;;;x
nick_the_resilient;the Resilient;;;;;;;;;;;;;x
nick_the_vigorous;the Vigorous;;;;;;;;;;;;;x
nick_the_hidden;the Hidden;;;;;;;;;;;;;x
nick_of_the_second_sight;of the Second Sight;;;;;;;;;;;;;x
nick_the_terror;the Terror;;;;;;;;;;;;;x
nick_the_ancient;the Ancient;;;;;;;;;;;;;x
nick_the_anastasia;the Anastasia;;;;;;;;;;;;;x
nick_the_yuri;the Yuri;;;;;;;;;;;;;x
nick_of_the_righteous_vengeance;of the Righteous Vengeance;;;;;;;;;;;;;x
nick_the_harridan;the Harridan;;;;;;;;;;;;;x
nick_the_devious;the Devious;;;;;;;;;;;;;x
nick_the_antiquarian;the Antiquarian;;;;;;;;;;;;;x
nick_the_vagabond;the Vagabond;;;;;;;;;;;;;x
nick_the_guardian;the Guardian;;;;;;;;;;;;;x
nick_the_black;the Black;;;;;;;;;;;;;x
nick_the_littlegrandmother;the Little Grandmother;;;;;;;;;;;;;x
nick_the_gaul;the Gaul;;;;;;;;;;;;;x
nick_the_boy_king;the Boy-King;;;;;;;;;;;;;x
nick_the_shepherd_of_wolves;the Shepherd of Wolves;;;;;;;;;;;;;x
nick_monarch_of_the_light;Monarch of the Light;;;;;;;;;;;;;x
nick_gods_witness;God's Witness;;;;;;;;;;;;;x
nick_the_copt;the Copt;;;;;;;;;;;;;x
nick_founder_of_the_camarilla;Founder of the Camarilla;;;;;;;;;;;;;x
nick_the_vivisectionist;the Vivisectionist;;;;;;;;;;;;;x
nick_first_regent_of_the_sabbat;First Regent of the Sabbat;;;;;;;;;;;;;x
nick_the_younger;the Younger;;;;;;;;;;;;;x
nick_the_elder;the Elder;;;;;;;;;;;;;x
nick_corruptor_of_legions;Corruptor of Legions;;;;;;;;;;;;;x
nick_the_white_god;the White God;;;;;;;;;;;;;x
nick_mullah_of_the_ashirra;Mullah of the Ashirra;;;;;;;;;;;;;x
nick_the_manyarmed;the Many-Armed;;;;;;;;;;;;;x
nick_the_flayer;the Flayer;;;;;;;;;;;;;x
nick_the_threeheaded;the Three-Headed;;;;;;;;;;;;;x
nick_the_spear_of_destiny;the Spear of Destiny;;;;;;;;;;;;;x
nick_the_golden;the Golden;;;;;;;;;;;;;x
nick_the_cruel;the Cruel;;;;;;;;;;;;;x
nick_the_butcher_of_rus;the Butcher of Rus;;;;;;;;;;;;;x
